marca,modelo,anio,clase,traccion,combustible,transmision,cilindros,cilindrada,mpg_ciudad,mpg_ruta,mpg_combinado,co2_g_milla,barriles_anio,costo_combustible_anio,puntaje_gei,ahorro_5anios
BMW,430i xDrive Coupe,2024,Subcompact Cars,All-Wheel Drive,Premium,Automatic (S8),4.0,2.0,23,33,27,326.0,11.019,2800,5,-3000
BMW,430i Convertible,2024,Subcompact Cars,Rear-Wheel Drive,Premium,Automatic (S8),4.0,2.0,25,34,28,312.0,10.625,2700,6,-2500
BMW,430i xDrive Convertible,2024,Subcompact Cars,All-Wheel Drive,Premium,Automatic (S8),4.0,2.0,23,33,27,326.0,11.019,2800,5,-3000
BMW,M4 Coupe,2024,Subcompact Cars,Rear-Wheel Drive,Premium,Manual 6-spd,6.0,3.0,16,23,19,472.0,15.658,4000,4,-9000
BMW,M4 Competition Coupe,2024,Subcompact Cars,Rear-Wheel Drive,Premium,Automatic (S8),6.0,3.0,16,23,19,470.0,15.658,4000,4,-9000
BMW,M4 Competition M xDrive Coupe,2024,Subcompact Cars,All-Wheel Drive,Premium,Automatic (S8),6.0,3.0,16,22,18,477.0,16.528,4200,4,-10000
BMW,M4 Competition M xDrive Convertible,2024,Subcompact Cars,All-Wheel Drive,Premium,Automatic (S8),6.0,3.0,16,23,18,484.0,16.528,4200,4,-10000
BMW,840i Coupe,2024,Subcompact Cars,Rear-Wheel Drive,Premium,Automatic (S8),6.0,3.0,21,29,24,373.0,12.396,3150,5,-4750
BMW,840i xDrive Coupe,2024,Subcompact Cars,All-Wheel Drive,Premium,Automatic (S8),6.0,3.0,21,29,24,373.0,12.396,3150,5,-4750
BMW,840i Convertible,2024,Subcompact Cars,Rear-Wheel Drive,Premium,Automatic (S8),6.0,3.0,21,29,24,374.0,12.396,3150,5,-4750
BMW,840i xDrive Convertible,2024,Subcompact Cars,All-Wheel Drive,Premium,Automatic (S8),6.0,3.0,21,29,24,373.0,12.396,3150,5,-4750
BMW,M850i xDrive Coupe,2024,Subcompact Cars,All-Wheel Drive,Premium,Automatic (S8),8.0,4.4,17,24,19,457.0,15.658,4000,4,-9000
BMW,M850i xDrive Convertible,2024,Subcompact Cars,All-Wheel Drive,Premium,Automatic (S8),8.0,4.4,17,24,19,457.0,15.658,4000,4,-9000
BMW,M8 Competition Coupe,2024,Subcompact Cars,All-Wheel Drive,Premium,Automatic (S8),8.0,4.4,15,22,17,517.0,17.501,4450,3,-11250
BMW,M8 Competition Convertible,2024,Subcompact Cars,All-Wheel Drive,Premium,Automatic (S8),8.0,4.4,15,22,17,517.0,17.501,4450,3,-11250
MINI,Cooper Hardtop 2 door,2024,Subcompact Cars,Front-Wheel Drive,Premium,Automatic (AM-S7),3.0,1.5,29,38,32,274.0,9.297,2400,6,-1000
MINI,Cooper Hardtop 2 door,2024,Subcompact Cars,Front-Wheel Drive,Premium,Manual 6-spd,3.0,1.5,27,38,31,283.0,9.597,2450,6,-1250
MINI,Cooper Hardtop 4 door,2024,Subcompact Cars,Front-Wheel Drive,Premium,Automatic (AM-S7),3.0,1.5,29,38,32,274.0,9.297,2400,6,-1000
MINI,Cooper Hardtop 4 door,2024,Subcompact Cars,Front-Wheel Drive,Premium,Manual 6-spd,3.0,1.5,27,38,31,283.0,9.597,2450,6,-1250
MINI,Cooper S Hardtop 2 door,2024,Subcompact Cars,Front-Wheel Drive,Premium,Automatic (AM-S7),4.0,2.0,28,38,31,280.0,9.597,2450,6,-1250
MINI,Cooper S Hardtop 2 door,2024,Subcompact Cars,Front-Wheel Drive,Premium,Manual 6-spd,4.0,2.0,23,33,27,330.0,11.019,2800,5,-3000
MINI,Cooper S Hardtop 4 door,2024,Subcompact Cars,Front-Wheel Drive,Premium,Automatic (AM-S7),4.0,2.0,28,38,31,280.0,9.597,2450,6,-1250
MINI,Cooper S Hardtop 4 door,2024,Subcompact Cars,Front-Wheel Drive,Premium,Manual 6-spd,4.0,2.0,23,33,27,330.0,11.019,2800,5,-3000
MINI,John Cooper Works Hardtop 2 door,2024,Subcompact Cars,Front-Wheel Drive,Premium,Automatic (S8),4.0,2.0,26,35,29,299.0,10.259,2600,6,-2000
MINI,John Cooper Works Hardtop 2 door,2024,Subcompact Cars,Front-Wheel Drive,Premium,Manual 6-spd,4.0,2.0,22,32,26,345.0,11.443,2900,5,-3500
BMW,430i Gran Coupe,2024,Compact Cars,Rear-Wheel Drive,Premium,Automatic (S8),4.0,2.0,25,34,28,312.0,10.625,2700,6,-2500
BMW,430i xDrive Gran Coupe,2024,Compact Cars,All-Wheel Drive,Premium,Automatic (S8),4.0,2.0,23,33,27,326.0,11.019,2800,5,-3000
BMW,840i Gran Coupe,2024,Midsize Cars,Rear-Wheel Drive,Premium,Automatic (S8),6.0,3.0,21,29,24,374.0,12.396,3150,5,-4750
BMW,840i xDrive Gran Coupe,2024,Midsize Cars,All-Wheel Drive,Premium,Automatic (S8),6.0,3.0,21,29,24,373.0,12.396,3150,5,-4750
BMW,M850i xDrive Gran Coupe,2024,Midsize Cars,All-Wheel Drive,Premium,Automatic (S8),8.0,4.4,17,24,19,457.0,15.658,4000,4,-9000
BMW,Alpina B8 Gran Coupe,2024,Midsize Cars,All-Wheel Drive,Premium,Automatic (S8),8.0,4.4,17,24,19,457.0,15.658,4000,4,-9000
BMW,M8 Competition Gran Coupe,2024,Midsize Cars,All-Wheel Drive,Premium,Automatic (S8),8.0,4.4,15,22,17,517.0,17.501,4450,3,-11250
MINI,Cooper Countryman,2024,Midsize Cars,Front-Wheel Drive,Premium,Automatic (AM-S7),3.0,1.5,26,32,28,312.0,10.625,2700,6,-2500
MINI,Cooper Countryman All4,2024,Midsize Cars,All-Wheel Drive,Premium,Automatic (S8),3.0,1.5,23,31,26,337.0,11.443,2900,5,-3500
MINI,John Cooper Works Clubman All4,2024,Midsize Cars,All-Wheel Drive,Premium,Automatic (S8),4.0,2.0,23,31,26,339.0,11.443,2900,5,-3500
MINI,JCW Countryman All4,2024,Midsize Cars,All-Wheel Drive,Premium,Automatic (S8),4.0,2.0,24,30,26,338.0,11.443,2900,5,-3500
Kia,Carnival,2024,Minivan - 2WD,Front-Wheel Drive,Regular,Automatic (S8),6.0,3.5,19,26,22,408.0,13.523,2800,5,-3000
Genesis,GV80 AWD,2024,Standard Sport Utility Vehicle 4WD,All-Wheel Drive,Premium,Automatic (S8),4.0,2.5,20,24,22,408.0,13.523,3450,5,-6250
Genesis,GV80 AWD,2024,Standard Sport Utility Vehicle 4WD,All-Wheel Drive,Premium,Automatic (S8),6.0,3.5,18,23,20,448.0,14.876,3800,4,-8000
BMW,M440i Coupe,2024,Subcompact Cars,Rear-Wheel Drive,Premium,Automatic (S8),6.0,3.0,24,32,27,329.0,11.019,2800,5,-3000
BMW,M440i xDrive Coupe,2024,Subcompact Cars,All-Wheel Drive,Premium,Automatic (S8),6.0,3.0,22,31,25,347.0,11.9,3050,5,-4250
BMW,M440i Convertible,2024,Subcompact Cars,Rear-Wheel Drive,Premium,Automatic (S8),6.0,3.0,23,31,26,338.0,11.443,2900,5,-3500
BMW,M440i xDrive Convertible,2024,Subcompact Cars,All-Wheel Drive,Premium,Automatic (S8),6.0,3.0,22,30,25,351.0,11.9,3050,5,-4250
BMW,M440i Gran Coupe,2024,Compact Cars,Rear-Wheel Drive,Premium,Automatic (S8),6.0,3.0,24,32,27,329.0,11.019,2800,5,-3000
BMW,M440i xDrive Gran Coupe,2024,Compact Cars,All-Wheel Drive,Premium,Automatic (S8),6.0,3.0,22,30,25,351.0,11.9,3050,5,-4250
Subaru,Legacy AWD,2024,Midsize Cars,All-Wheel Drive,Regular,Automatic (AV-S8),4.0,2.5,27,35,30,295.0,9.917,2050,6,750
Subaru,Legacy AWD,2024,Midsize Cars,All-Wheel Drive,Regular,Automatic (AV-S8),4.0,2.4,23,31,26,337.0,11.443,2350,5,-750
Subaru,Impreza,2024,Small Station Wagons,All-Wheel Drive,Regular,Automatic (AV-S8),4.0,2.0,27,34,30,297.0,9.917,2050,6,750
Subaru,Impreza,2024,Small Station Wagons,All-Wheel Drive,Regular,Automatic (AV-S8),4.0,2.5,26,33,29,306.0,10.259,2100,6,500
Buick,Encore GX FWD,2024,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Regular,Automatic (variable gear ratios),3.0,1.3,29,31,30,297.0,9.917,2050,6,750
Lexus,NX 250,2024,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Regular,Automatic (S8),4.0,2.5,26,33,28,311.0,10.625,2200,6,0
Buick,Encore GX AWD,2024,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Regular,Automatic 9-spd,3.0,1.3,26,28,27,333.0,11.019,2300,5,-500
Jaguar,F-Pace SVR,2024,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Premium,Automatic (S8),8.0,5.0,15,21,17,518.0,17.501,4450,3,-11250
Lexus,NX 250 AWD,2024,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Regular,Automatic (S8),4.0,2.5,25,32,28,318.0,10.625,2200,6,0
Lexus,NX 350h AWD,2024,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Premium,Automatic (AV-S6),4.0,2.5,41,37,39,225.0,7.628,1950,7,1250
Lexus,NX 350 AWD,2024,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Premium,Automatic (S8),4.0,2.4,21,28,24,370.0,12.396,3150,5,-4750
Lexus,NX 350 AWD F Sport,2024,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Premium,Automatic (S8),4.0,2.4,21,28,24,370.0,12.396,3150,5,-4750
Subaru,Crosstrek AWD,2024,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Regular,Automatic (AV-S8),4.0,2.0,27,34,29,300.0,10.259,2100,6,500
Subaru,Outback AWD,2024,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Regular,Automatic (AV-S8),4.0,2.5,26,32,28,314.0,10.625,2200,6,0
Subaru,Outback AWD,2024,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Regular,Automatic (AV-S8),4.0,2.4,22,29,25,356.0,11.9,2450,5,-1250
Subaru,Outback Wilderness AWD,2024,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Regular,Automatic (AV-S8),4.0,2.4,21,26,23,378.0,12.935,2650,5,-2250
BMW,X5 sDrive40i,2024,Standard Sport Utility Vehicle 2WD,Rear-Wheel Drive,Premium,Automatic (S8),6.0,3.0,23,27,25,360.0,11.9,3050,5,-4250
BMW,X5 xDrive40i,2024,Standard Sport Utility Vehicle 4WD,All-Wheel Drive,Premium,Automatic (S8),6.0,3.0,23,27,25,352.0,11.9,3050,5,-4250
BMW,X5 M60i xDrive,2024,Standard Sport Utility Vehicle 4WD,All-Wheel Drive,Premium,Automatic (S8),8.0,4.4,17,22,19,458.0,15.658,4000,4,-9000
BMW,X5 M Competition,2024,Standard Sport Utility Vehicle 4WD,All-Wheel Drive,Premium,Automatic (S8),8.0,4.4,13,18,15,589.0,19.834,5050,2,-14250
BMW,X6 xDrive40i,2024,Standard Sport Utility Vehicle 4WD,All-Wheel Drive,Premium,Automatic (S8),6.0,3.0,23,26,24,359.0,12.396,3150,5,-4750
BMW,X6 M60i xDrive,2024,Standard Sport Utility Vehicle 4WD,All-Wheel Drive,Premium,Automatic (S8),8.0,4.4,17,22,19,458.0,15.658,4000,4,-9000
BMW,X6 M Competition,2024,Standard Sport Utility Vehicle 4WD,All-Wheel Drive,Premium,Automatic (S8),8.0,4.4,13,18,15,589.0,19.834,5050,2,-14250
BMW,X7 xDrive40i,2024,Standard Sport Utility Vehicle 4WD,All-Wheel Drive,Premium,Automatic (S8),6.0,3.0,21,25,22,392.0,13.523,3450,5,-6250
BMW,X7 M60i xDrive,2024,Standard Sport Utility Vehicle 4WD,All-Wheel Drive,Premium,Automatic (S8),8.0,4.4,16,21,18,481.0,16.528,4200,4,-10000
BMW,M3 CS Sedan,2024,Compact Cars,All-Wheel Drive,Premium,Automatic (S8),6.0,3.0,15,22,18,491.0,16.528,4200,4,-10000
Lexus,UX 250h,2024,Compact Cars,Front-Wheel Drive,Regular,Automatic (AV-S6),4.0,2.0,43,41,42,209.0,7.084,1450,7,3750
Lexus,UX 250h AWD,2024,Compact Cars,All-Wheel Drive,Regular,Automatic (AV-S6),4.0,2.0,41,38,39,225.0,7.628,1600,7,3000
MINI,Cooper S Clubman,2024,Midsize Cars,Front-Wheel Drive,Premium,Automatic (AM-S7),4.0,2.0,25,35,29,307.0,10.259,2600,6,-2000
MINI,Cooper S Clubman,2024,Midsize Cars,Front-Wheel Drive,Premium,Manual 6-spd,4.0,2.0,22,32,25,348.0,11.9,3050,5,-4250
MINI,Cooper S Countryman,2024,Midsize Cars,Front-Wheel Drive,Premium,Automatic (AM-S7),4.0,2.0,24,33,28,321.0,10.625,2700,6,-2500
MINI,Cooper S Countryman All4,2024,Midsize Cars,All-Wheel Drive,Premium,Automatic (S8),4.0,2.0,23,31,26,341.0,11.443,2900,5,-3500
MINI,Cooper S Clubman All4,2024,Midsize Cars,All-Wheel Drive,Premium,Automatic (S8),4.0,2.0,23,32,27,332.0,11.019,2800,5,-3000
Acura,Integra,2024,Large Cars,Front-Wheel Drive,Premium,Automatic (AV-S7),4.0,1.5,30,37,33,269.0,9.015,2300,6,-500
Acura,Integra A-Spec,2024,Large Cars,Front-Wheel Drive,Premium,Automatic (AV-S7),4.0,1.5,29,36,32,277.0,9.297,2400,6,-1000
Acura,Integra A-Spec,2024,Large Cars,Front-Wheel Drive,Premium,Manual 6-spd,4.0,1.5,26,36,30,293.0,9.917,2550,6,-1750
Kia,K5,2024,Large Cars,Front-Wheel Drive,Regular,Automatic (S8),4.0,1.6,27,37,31,293.0,9.597,2000,6,1000
Kia,K5 AWD,2024,Large Cars,All-Wheel Drive,Regular,Automatic (S8),4.0,1.6,25,33,28,316.0,10.625,2200,6,0
Kia,K5,2024,Large Cars,Front-Wheel Drive,Regular,Automatic (AM-S8),4.0,2.5,24,32,27,332.0,11.019,2300,5,-500
Buick,Encore GX FWD,2024,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Regular,Automatic (variable gear ratios),3.0,1.2,30,31,30,297.0,9.917,2050,6,750
Cadillac,XT4 FWD,2024,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Premium,Automatic (S9),4.0,2.0,24,29,26,343.0,11.443,2900,5,-3500
Cadillac,XT4 AWD,2024,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Premium,Automatic (S9),4.0,2.0,23,28,25,360.0,11.9,3050,5,-4250
Nissan,GT-R,2024,Subcompact Cars,All-Wheel Drive,Premium,Automatic (AM-S6),6.0,3.8,16,22,18,493.0,16.528,4200,4,-10000
Alfa Romeo,Giulia,2024,Midsize Cars,Rear-Wheel Drive,Premium,Automatic 8-spd,4.0,2.0,24,33,27,330.0,11.019,2800,5,-3000
Alfa Romeo,Giulia AWD,2024,Midsize Cars,All-Wheel Drive,Premium,Automatic 8-spd,4.0,2.0,23,31,26,348.0,11.443,2900,5,-3500
Honda,HR-V AWD,2024,Small Station Wagons,All-Wheel Drive,Regular,Automatic (variable gear ratios),4.0,2.0,25,30,27,326.0,11.019,2300,5,-500
Honda,HR-V FWD,2024,Small Station Wagons,Front-Wheel Drive,Regular,Automatic (variable gear ratios),4.0,2.0,26,32,28,309.0,10.625,2200,6,0
Acura,MDX FWD,2024,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Premium,Automatic (S10),6.0,3.5,19,26,22,411.0,13.523,3450,5,-6250
Alfa Romeo,Stelvio,2024,Small Sport Utility Vehicle 2WD,Rear-Wheel Drive,Premium,Automatic 8-spd,4.0,2.0,22,29,25,359.0,11.9,3050,5,-4250
Chevrolet,Equinox FWD,2024,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Regular,Automatic 6-spd,4.0,1.5,26,31,28,310.0,10.625,2200,6,0
GMC,Terrain FWD,2024,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Regular,Automatic 9-spd,4.0,1.5,24,29,26,342.0,11.443,2350,5,-750
Volkswagen,Atlas,2024,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Regular,Automatic (S8),4.0,2.0,20,27,23,393.0,12.935,2650,5,-2250
Volkswagen,Atlas Cross Sport,2024,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Regular,Automatic (S8),4.0,2.0,20,27,23,393.0,12.935,2650,5,-2250
Acura,MDX AWD,2024,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Premium,Automatic (S10),6.0,3.5,19,25,21,423.0,14.167,3600,4,-7000
Alfa Romeo,Stelvio AWD,2024,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Premium,Automatic 8-spd,4.0,2.0,22,28,24,364.0,12.396,3150,5,-4750
Chevrolet,Equinox AWD,2024,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Regular,Automatic 6-spd,4.0,1.5,24,30,26,339.0,11.443,2350,5,-750
GMC,Terrain AWD,2024,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Regular,Automatic 9-spd,4.0,1.5,23,28,25,356.0,11.9,2450,5,-1250
Mercedes-Benz,GLE350,2024,Small Sport Utility Vehicle 4WD,Rear-Wheel Drive,Premium,Automatic 9-spd,4.0,2.0,21,28,24,369.0,12.396,3150,5,-4750
Mercedes-Benz,GLE350 4matic,2024,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Premium,Automatic 9-spd,4.0,2.0,20,27,23,384.0,12.935,3300,5,-5500
Volkswagen,Atlas 4motion Peak Edition,2024,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Regular,Automatic (S8),4.0,2.0,18,24,20,435.0,14.876,3100,4,-4500
Volkswagen,Atlas SE 4motion,2024,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Regular,Automatic (S8),4.0,2.0,19,26,22,407.0,13.523,2800,5,-3000
Volkswagen,Atlas Cross Sport 4motion,2024,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Regular,Automatic (S8),4.0,2.0,19,26,22,407.0,13.523,2800,5,-3000
Volkswagen,Atlas SEL 4motion,2024,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Regular,Automatic (S8),4.0,2.0,19,25,21,422.0,14.167,2950,4,-3750
Acura,MDX AWD Type-S,2024,Standard Sport Utility Vehicle 4WD,All-Wheel Drive,Premium,Automatic (S10),6.0,3.0,17,21,19,474.0,15.658,4000,4,-9000
BMW,Alpina XB7,2024,Standard Sport Utility Vehicle 4WD,All-Wheel Drive,Premium,Automatic (S8),8.0,4.4,16,20,17,506.0,17.501,4450,3,-11250
Mazda,CX-90 4WD,2024,Standard Sport Utility Vehicle 4WD,4-Wheel Drive,Regular,Automatic (S8),6.0,3.3,24,28,25,354.0,11.9,2450,5,-1250
Mazda,CX-90 4WD,2024,Standard Sport Utility Vehicle 4WD,4-Wheel Drive,Premium,Automatic (S8),6.0,3.3,23,28,25,358.0,11.9,3050,5,-4250
Mercedes-Benz,GLE450 4matic,2024,Standard Sport Utility Vehicle 4WD,All-Wheel Drive,Premium,Automatic 9-spd,6.0,3.0,19,26,22,406.0,13.523,3450,5,-6250
Mercedes-Benz,AMG GLE53 4matic Plus,2024,Standard Sport Utility Vehicle 4WD,All-Wheel Drive,Premium,Automatic 9-spd,6.0,3.0,18,23,20,439.0,14.876,3800,4,-8000
Mercedes-Benz,AMG GLE53 4matic Plus Coupe,2024,Standard Sport Utility Vehicle 4WD,All-Wheel Drive,Premium,Automatic 9-spd,6.0,3.0,18,22,20,454.0,14.876,3800,4,-8000
Maserati,GranTurismo Trofeo,2024,Subcompact Cars,All-Wheel Drive,Premium,Automatic 8-spd,6.0,3.0,18,27,21,412.0,14.167,3600,4,-7000
Maserati,GranTurismo Modena,2024,Subcompact Cars,All-Wheel Drive,Premium,Automatic 8-spd,6.0,3.0,18,27,21,412.0,14.167,3600,4,-7000
BMW,Z4 sDrive30i,2024,Two Seaters,Rear-Wheel Drive,Premium,Automatic (S8),4.0,2.0,25,33,28,312.0,10.625,2700,6,-2500
BMW,Z4 M40i,2024,Two Seaters,Rear-Wheel Drive,Premium,Automatic (S8),6.0,3.0,23,31,26,338.0,11.443,2900,5,-3500
Lamborghini,Huracan Spyder,2024,Two Seaters,All-Wheel Drive,Premium,Automatic (AM-S7),10.0,5.2,13,18,15,604.0,19.834,5050,2,-14250
Lamborghini,Huracan Sterrato,2024,Two Seaters,All-Wheel Drive,Premium,Automatic (AM-S7),10.0,5.2,13,18,15,604.0,19.834,5050,2,-14250
Lamborghini,Huracan Coupe 2WD,2024,Two Seaters,Rear-Wheel Drive,Premium,Automatic (AM-S7),10.0,5.2,13,18,15,596.0,19.834,5050,2,-14250
Toyota,GR Supra,2024,Two Seaters,Rear-Wheel Drive,Premium,Automatic (S8),4.0,2.0,25,31,27,322.0,11.019,2800,5,-3000
Lexus,LC 500 Convertible,2024,Minicompact Cars,Rear-Wheel Drive,Premium,Automatic (S10),8.0,5.0,15,25,18,489.0,16.528,4200,4,-10000
Audi,RS 3,2024,Subcompact Cars,All-Wheel Drive,Premium,Automatic (AM-S7),5.0,2.5,19,29,23,388.0,12.935,3300,5,-5500
Audi,S3,2024,Subcompact Cars,All-Wheel Drive,Premium,Automatic (AM-S7),4.0,2.0,23,32,26,335.0,11.443,2900,5,-3500
Audi,RS 5 Coupe,2024,Subcompact Cars,All-Wheel Drive,Premium,Automatic (S8),6.0,2.9,18,25,21,425.0,14.167,3600,4,-7000
BMW,230i Coupe,2024,Subcompact Cars,Rear-Wheel Drive,Premium,Automatic (S8),4.0,2.0,26,35,30,296.0,9.917,2550,6,-1750
BMW,M240i Coupe,2024,Subcompact Cars,Rear-Wheel Drive,Premium,Automatic (S8),6.0,3.0,22,32,26,343.0,11.443,2900,5,-3500
BMW,M2 Coupe,2024,Subcompact Cars,Rear-Wheel Drive,Premium,Manual 6-spd,6.0,3.0,16,24,19,461.0,15.658,4000,4,-9000
BMW,M2 Coupe,2024,Subcompact Cars,Rear-Wheel Drive,Premium,Automatic (S8),6.0,3.0,16,23,19,472.0,15.658,4000,4,-9000
Ford,Mustang Performance Package,2024,Subcompact Cars,Rear-Wheel Drive,Regular,Automatic (S10),4.0,2.3,21,29,24,368.0,12.396,2550,5,-1750
Ford,Mustang,2024,Subcompact Cars,Rear-Wheel Drive,Regular,Automatic 10-spd,4.0,2.3,22,33,26,341.0,11.443,2350,5,-750
Ford,Mustang,2024,Subcompact Cars,Rear-Wheel Drive,Regular,Manual 6-spd,8.0,5.0,14,23,17,515.0,17.501,3600,3,-7000
Ford,Mustang,2024,Subcompact Cars,Rear-Wheel Drive,Regular,Automatic (S10),8.0,5.0,15,24,18,492.0,16.528,3400,4,-6000
Ford,Mustang Dark Horse,2024,Subcompact Cars,Rear-Wheel Drive,Regular,Manual 6-spd,8.0,5.0,14,22,17,535.0,17.501,3600,3,-7000
Lexus,LC 500h,2024,Subcompact Cars,Rear-Wheel Drive,Premium,Automatic (AV-S10),6.0,3.5,26,33,29,304.0,10.259,2600,6,-2000
Lexus,LC 500,2024,Subcompact Cars,Rear-Wheel Drive,Premium,Automatic (S10),8.0,5.0,16,24,18,481.0,16.528,4200,4,-10000
Audi,A4 quattro,2024,Compact Cars,All-Wheel Drive,Premium,Automatic (AM-S7),4.0,2.0,26,35,30,300.0,9.917,2550,6,-1750
BMW,228i xDrive Gran Coupe,2024,Compact Cars,All-Wheel Drive,Premium,Automatic (S8),4.0,2.0,23,33,27,330.0,11.019,2800,5,-3000
BMW,228i Gran Coupe,2024,Compact Cars,Front-Wheel Drive,Premium,Automatic (S8),4.0,2.0,24,34,28,315.0,10.625,2700,6,-2500
BMW,M235i xDrive Gran Coupe,2024,Compact Cars,All-Wheel Drive,Premium,Automatic (S8),4.0,2.0,24,33,27,325.0,11.019,2800,5,-3000
BMW,330i Sedan,2024,Compact Cars,Rear-Wheel Drive,Premium,Automatic (S8),4.0,2.0,25,34,29,308.0,10.259,2600,6,-2000
BMW,330i xDrive Sedan,2024,Compact Cars,All-Wheel Drive,Premium,Automatic (S8),4.0,2.0,24,33,27,322.0,11.019,2800,5,-3000
BMW,M3 Sedan,2024,Compact Cars,Rear-Wheel Drive,Premium,Manual 6-spd,6.0,3.0,16,23,19,472.0,15.658,4000,4,-9000
